collection,floorPrice,numOwners,totalSupply,oneDayTotalVolume,oneDayChange,oneDaySecondaryVolume,oneDaySecondaryChange,sevenDayTotalVolume,sevenDayChange,sevenDaySecondaryVolume,sevenDaySecondaryChange,thirtyDayTotalVolume,thirtyDayChange,thirtyDaySecondaryVolume,thirtyDaySecondaryChange,totalVolume,avgSalePrice,totalPrimaryVolume,totalSecondaryVolume,oneDayNumSecondarySales,oneDayNumSecondarySalesChange,oneDayNumTotalSales,oneDayNumTotalSalesChange,sevenDayNumSecondarySales,sevenDayNumSecondarySalesChange,sevenDayNumTotalSales,sevenDayNumTotalSalesChange,thirtyDayNumSecondarySales,thirtyDayNumSecondarySalesChange,thirtyDayNumTotalSales,thirtyDayNumTotalSalesChange,totalNumTotalSales,totalNumSecondarySales,totalNumPrimarySales,totalMarketCap
"{'niftyTitle': 'beef by dre', 'niftyType': 22, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722982/Patrick/dwtml/beef_by_dre.jpg', 'staticThumbnailUrl': ''}",42000.00,9,9,0.00,0.00,0.00,0.00,140721.00,,78000.00,,140721.00,,78000.00,,140721.00,13000.00,62721,78000,0,0.00,0,0.00,6,,15,,6,,15,,15,6,9,378000
"{'niftyTitle': 'drink more water, that will be two hundred dollars', 'niftyType': 26, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722982/Patrick/dwtml/drink_more_water_that_will_be_two_hundred_dollars.jpg', 'staticThumbnailUrl': ''}",24000.00,9,9,0.00,0.00,0.00,0.00,133625.00,,70904.00,,133625.00,,70904.00,,133625.00,11817.33,62721,70904,0,0.00,0,0.00,6,,15,,6,,15,,15,6,9,216000
"{'niftyTitle': 'how to succeed in non-fungible fuckery', 'niftyType': 31, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722987/Patrick/dwtml/how_to_succeed_in_non-fungible_fuckery.jpg', 'staticThumbnailUrl': ''}",0.00,9,9,0.00,0.00,0.00,0.00,130800.00,,68079.00,,130800.00,,68079.00,,130800.00,13615.80,62721,68079,0,0.00,0,0.00,5,,14,,5,,14,,14,5,9,0
"{'niftyTitle': 'euthanize war', 'niftyType': 32, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722982/Patrick/dwtml/euthanize_war.jpg', 'staticThumbnailUrl': ''}",0.00,9,9,0.00,0.00,0.00,0.00,122621.00,,59900.00,,122621.00,,59900.00,,122621.00,19966.67,62721,59900,0,0.00,0,0.00,3,,12,,3,,12,,12,3,9,0
"{'niftyTitle': 'death of pepe', 'niftyType': 8, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722978/Patrick/dwtml/death_of_pepe.jpg', 'staticThumbnailUrl': ''}",0.00,6,6,0.00,0.00,0.00,0.00,120731.00,,78917.00,,120731.00,,78917.00,,120731.00,26305.67,41814,78917,0,0.00,0,0.00,3,,9,,3,,9,,9,3,6,0
"{'niftyTitle': 'BROKEN//', 'niftyType': 3, 'niftyContractAddress': '0x1766ed38c58324744ea74c6161b8259e9aa995a9', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1606848593/Fvckrender/BROKEN_x06c4w.mp4', 'staticThumbnailUrl': ''}",850000.00,17,20,0.00,0.00,0.00,0.00,120000.00,0.00,120000.00,0.00,120000.00,0.00,120000.00,0.00,14921599.00,554676.88,500000,14421599,0,0.00,0,0.00,1,0.0,1,0.0,1,0.0,1,0.0,46,26,20,17000000
"{'niftyTitle': 'Meatrise', 'niftyType': 36, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722978/Patrick/dwtml/meatrise.jpg', 'staticThumbnailUrl': ''}",21200.00,9,9,0.00,0.00,0.00,0.00,117421.00,,54700.00,,117421.00,,54700.00,,117421.00,18233.33,62721,54700,0,0.00,0,0.00,3,,12,,3,,12,,12,3,9,190800
"{'niftyTitle': 'piss soaked revolution', 'niftyType': 12, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722988/Patrick/dwtml/piss_soaked_revolution.jpg', 'staticThumbnailUrl': ''}",59500.00,6,6,0.00,0.00,0.00,0.00,115840.00,,74026.00,,115840.00,,74026.00,,115840.00,37013.00,41814,74026,0,0.00,0,0.00,2,,8,,2,,8,,8,2,6,357000
"{'niftyTitle': 'Holiday Cheer Stamp', 'niftyType': 1, 'niftyContractAddress': '0x9eadd65898f7f176ee27442b3a3638f9c78610cb', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1670974558/000%20-%20Publisher%20Profile/Starbucks/NFTs/Starbucks_Odyssey_Free_Journey_Stamp_Holiday.png', 'staticThumbnailUrl': ''}",30000.00,525,5000,55000.00,5500000.00,55000.00,5500000.00,115100.00,91.51,115100.00,91.51,667200.00,-10.41,667200.00,-10.41,15466390.00,81402.05,0,15466390,1,100.00,1,100.00,2,100.0,2,100.0,10,-9.0,10,-9.0,190,190,0,150000000
"{'niftyTitle': 'fredenza krueger', 'niftyType': 27, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722991/Patrick/dwtml/fredenza_krueger.jpg', 'staticThumbnailUrl': ''}",117700.00,9,9,0.00,0.00,0.00,0.00,114361.00,,51640.00,,114361.00,,51640.00,,114361.00,25820.00,62721,51640,0,0.00,0,0.00,2,,11,,2,,11,,11,2,9,1059300
