seven days,Volume,No of  Sales,Average Floor Price,Owners
APHRODITE,0.9156335268372187,1,0.0,1
DEMETER,0.9156335268372187,1,0.0,1
TEMPTATION,0.9156335268372187,1,4.211914223451206,80
Seeing Prophecy,0.9089188809737457,10,0.06714645863472937,53
Leonardo Glauso. Photography 5 IIII,0.8545912917147374,2,0.5493801161023312,48
Sunset-4,0.8545912917147374,2,0.0,2
Sunset-3,0.8545912917147374,2,0.0,2
Hanging with the Birds in Crypto City,0.8545912917147374,1,1.526055878062031,14
Seated Bored by Dario De Siena,0.8545912917147374,1,0.9156335268372187,83
Clumsy Baby Spider,0.7935490565922562,1,1.3429291726945873,33
Robot Merry Christmas,0.7935490565922562,2,0.6098119288735876,101
Melody of the Soul,0.732506821469775,1,0.0,2
The Mystery of Time,0.732506821469775,1,0.0,2
Rolo (Jon Burgerman collaboration),0.6946606356938365,1,0.0,9
Squish Screen 3.0,0.6916085239377124,1,76.30279390310156,28
Carbon Asphyxia,0.6903876792352629,1,0.0,8
Ozymandias,0.68367303337179,16,0.036014918722263936,626
Beyond Life,0.6714645863472937,1,0.9156335268372187,22
Dance to the end,0.6714645863472937,1,1.0987602322046623,17
SUBLIMATION,0.6714645863472937,1,1.526055878062031,50
2+1=6,0.634839245273805,1,1.8312670536744373,5
Cosmogonic,0.6104223512248125,1,1.770224818551956,8
Mutant #5,0.6104223512248125,1,0.0,1
ARTEMIS,0.6104223512248125,1,0.0,1
HEPHAESTUS,0.6104223512248125,1,0.0,1
PURPLE POOH,0.6104223512248125,1,0.0,1
“The melody of loneliness”,0.6104223512248125,1,3.052111756124062,13
ARES,0.6104223512248125,1,0.0,1
Spirit of the Forest,0.6104223512248125,1,1.220844702449625,6
Nifty Pass,0.6104223512248125,1,6.104223512248124,94
PUBLIC PRIVACY,0.6104223512248125,1,1.281886937572106,196
Blue Hell Keeper,0.6104223512248125,1,0.0,1
Cyber Space,0.6104223512248125,1,0.0,1
Mysteries of Silence,0.6104223512248125,1,5.799012336635718,8
The-Companion,0.6104223512248125,1,0.26797541218769266,5026
"“In search of freedom""",0.6104223512248125,1,2.991069521001581,13
Flick,0.6104223512248125,1,1.129281349765903,46
On Cue,0.6104223512248125,1,4.272956458573687,13
DIONYSUS,0.6104223512248125,1,0.0,1
APOLLO,0.6104223512248125,1,0.0,1
Ocean Ranger,0.6104223512248125,1,0.9150231044859939,8
ATHENA,0.6104223512248125,1,0.0,1
ν1 Sagittarii A,0.6098119288735876,1,0.0,2
η Cassiopeiae,0.6098119288735876,1,0.0,2
Angelic Team Christmas,0.5481592713998815,5,0.10987602322046623,75
Kitsune,0.4883378809798499,1,1.220844702449625,1
Amida,0.4883378809798499,1,0.0,1
Nurse Quick,0.4883378809798499,1,0.0,1
Nurse Star,0.4883378809798499,1,0.0,1
LaidlyWorm,0.4883378809798499,1,79.29386342410314,1
Motivation,0.4883378809798499,1,181.23439607864682,2
Hydra,0.4883378809798499,1,1.220844702449625,1
Dainichi,0.4883378809798499,1,60.98119288735876,1
Go-Shin Tai,0.4883378809798499,1,1.220844702449625,1
A Necessary Connection,0.4883378809798499,1,0.5493801161023312,767
Screaming,0.47918154571147775,2,1.5565769956232718,7
The Most Valuable Artwork,0.3967745282961281,3,0.15809938896722642,2039
PEPE RIPS,0.3662534107348875,1,0.3662534107348875,745
Parallel Fate,0.30521117561240624,1,41.20350870767484,7
"""I Yam""",0.30521117561240624,1,0.0,2
The blockchain way to a bright future!,0.2746900580511656,1,0.24416894048992496,28
The Blockchain Experience: Exchange Art,0.21364782292868434,1,0.24355851813870016,22
"""Effect Thyroid""",0.20449148766031217,2,0.09766757619597,64
Serpents Aquatiques II,0.18312670536744374,1,2.991069521001581,14
Journey,0.18312670536744374,1,0.30521117561240624,82
Aoeye,0.1806850159625445,2,0.46941478809188075,20
mechanical woman,0.15260558780620312,1,0.12208447024496248,43
Forgotten City,0.12208447024496248,1,0.19838726414806404,36
I believe in intuitions and inspirations.,0.08851124092759781,1,0.08973208563004743,42
Escape to the Past,0.06714645863472937,1,0.06714645863472937,49
Golden Stroke,0.06104223512248124,1,0.06104223512248124,141
Now,0.054938011610233116,1,0.054938011610233116,224
Genaesis,0.0543275892590083,1,0.0543275892590083,543
Lost Ceremony,0.045781676341860936,1,0.05799012336635718,83
Lambo Astronaut #5445,0.031131539912465433,1,1.0981498098534375,123
#86 Angel | Fragile,0.0,0,18.06850159625445,10
Baby Dark is growing up,0.0,0,58.78367242294944,4
0047,0.0,0,0.0,2
Cuantika,0.0,0,756.9237155187674,2
Breach by Vhils,0.0,0,73.18963991185501,15
MIXED FEELINGS,0.0,0,6.043181277125643,362
MOFASH Limited -3,0.0,0,122.02342800984,4
Moonbutts,0.0,0,1.3636835326362309,728
ABUNIVERSE🤖🌐🌟,0.0,0,0.0,1
Destiny Library,0.0,0,0.885112409275978,11
Nifty Gateway,10731.215778196934,1914,11844.94441036253,163652
