thirty days,Volume,No of  Sales,Average Floor Price,Owners
Matter*,24.416894048992496,1,29.23129513310259,330
Liquid Summer,24.416894048992496,1,60.43181277125643,90
Imprimatura,24.355851813870014,2,12.147404789373768,352
Treasure,23.4402182870328,12,0.0,6
A Lovecraftian Read,23.19604934654287,4,0.0,5
Animus Society NFKey - Pearl,23.19604934654287,38,5.371716690778349,22
Signature Showdown Journey Stamp,23.126461198503243,26,0.9150231044859939,3972
Circumnavigation I - BTC/ETH,22.890838170930465,1,41.20350870767484,83
PARTYING,21.975204644093246,4,0.0,4
LOST IN TOKYO,21.975204644093246,1,24.294809578747536,92
WHAT IS ART ?,21.364782292868433,1,309.4230898358574,15
Chimera,21.303740057745955,1,21.364782292868433,21
The Banished Womb,20.347208233376673,1,0.0,1
greed.,20.327064295786254,1,57.99012336635718,20
The Setteseven,19.899768649928884,1,0.0,1
The Zulu,19.472473004071517,1,0.0,1
Coffee Heritage Journey Stamp,19.209380970693623,29,0.6696333192936192,17686
Chapter VIII: Origin,19.10621959333663,3,17.335994774784673,1558
Leonardo Glauso. Photography 5 IIIII,19.045177358214147,8,18.251628301621892,5
𝐓𝖍𝖊 𝐎𝖙𝖍𝖊𝖗 𝐖𝖔𝖗𝖑𝖉 𝐂𝖆𝖗𝖙𝖔𝖌𝖗𝖆𝖕𝖍𝖊𝖗,18.48725132919467,4,8.807173683471595,34
The Xray,18.312670536744374,1,3540.449637103912,1
HEALING,18.312670536744374,1,1526.055878062031,1
daofork,18.312670536744374,1,61.042235122481245,42
Fitty Mao,18.312670536744374,1,18.312670536744374,56
Animus Society NFKey Sapphire,18.129543831376928,24,29.239230623668515,14
The Oath by Trevor Jones x Apollo Ent.,18.0599556833373,35,0.16481403483069937,18631
Prison #5,18.007459361131968,15,3.3573229317364683,10
PILLOWFRIGHT!,17.885374890887004,5,6.775688098595418,6
The Victor,17.628997503372585,1,763027.9390310155,1
Tears,17.580163715274598,1,18.312670536744374,105
Muga x Des Lucrece,17.488600362590876,6,7.630279390310156,207
The Oktoeight,17.37017842645326,1,0.0,1
Going Places Journey Stamp,17.301811123116085,28,0.5487696937511064,3488
BEDROOM BLISS,17.09182583429475,1,24.416894048992496,131
Crypto Lobus,17.030783599172267,1,0.0,6
VIP,17.03017317682104,7,2.9892382539479065,1392
Venusian Team Classic by Alotta Money,16.786614658682343,2,12.208447024496248,53
The Sierra,16.481403483069936,1,0.0,1
SAILING,16.481403483069936,3,0.0,3
Empty Contract,16.48079306071871,1,18.251628301621892,208
Aku Chapter IX: The Mission,16.420361247947454,3,24.416894048992496,1351
The Terrathree,16.17619230745753,1,0.0,1
The Bissotwo,15.870981131845124,1,0.0,1
The Uniform,15.870981131845124,1,0.0,1
The Yankee,15.870981131845124,1,6029.56885869333,1
Ash Chapter Two: Metamorphosis,15.870981131845124,2,9.758822129031076,2206
ΠΑΘΟΣ,15.870981131845124,1,24.355851813870014,174
The Pantafive,15.302677922854823,1,42.7106414928489,1
"Kur, The Death's Echo",15.260558780620311,1,146.501364293955,20
Friends,15.260558780620311,1,60.73702394686884,37
THE LAST SUPPER 02,15.260558780620311,10,61042.17408024612,9
Crispy Tuna Sushi Pizza #81,15.260558780620311,5,0.0,3
ALMOST SUMMER,15.260558780620311,1,20.08289535529633,30
LOAD$ OF FUN,15.260558780620311,1,0.0,9
Leonardo Glauso. Photography 5 I,15.236141886571318,156,0.18312670536744374,43
OPPENHEIMER’S TRINITY,14.955347605007905,7,427295.6458573687,6
Silver Boombox: Animated,14.955347605007905,1,24.416894048992496,26
New Era,14.955347605007905,1,15.260558780620311,15
World of Coffee Journey Stamp,14.839977780626414,23,0.6104223512248125,7923
Fear,14.71117866451798,238,0.3046007532611814,17
The Novenine,14.650136429395499,1,0.0,1
THE LAST SUPPER [FINAL],14.650136429395499,16,610.36130898969,13
protector.,14.585431660165668,5,4.211914223451206,16
The Kartefour,14.344925253783092,1,0.0,1
Kamakura,14.242984721128549,1,2136.4782292868435,10
Colours,14.100756313293168,7,4.211914223451206,7
Audrey34,14.100756313293168,7,4.211914223451206,7
The Soxisix,14.039714078170686,1,0.0,1
Air Drop PİGGY BANK,13.946929880784515,219,0.30521117561240624,24
Creation,13.73450290255828,1,44.2556204637989,105
Genesis.001,13.73450290255828,1,36.62534107348875,1025
FLOW,13.73450290255828,1,17.030783599172267,230
Leonardo Glauso. Photography 5 II,13.673460667435798,140,0.24416894048992496,27
Quantum Transcendence,13.551376197190836,1,213.64782292868435,10
I Asked Myself For Peace (Copper),13.48972353971713,6,2.44168940489925,176
Trump,13.429291726945873,17,976675.7619596999,12
#8 The XOO Store,13.185122786455949,24,12.208447024496248,10
Mona Lisa to life,13.185122786455949,71,0.5487696937511064,34
Doing Good Journey Stamp,13.053271558591389,18,0.6714645863472937,4475
HOLYE CRAPS,12.81886937572106,8,1526055.878062031,3
Eros,12.776139811135325,70,1.220844702449625,14
transaction is salvation,12.762100097057154,3,0.0,3
Rug Pulls,12.696784905476099,16,3.052111756124062,12
The Spiral,12.635742670353617,3,9.095293033249705,21
GINZA,12.635742670353617,9,0.0,9
IMPACT,12.513658200108654,1,18.923092887969187,256
FOCUS,12.26948925961873,1,0.0,1
Aku Chapter X: The Finale,12.26948925961873,2,10.071968795209406,1355
PUBLIC PRIVACY,12.208447024496248,20,1.281886937572106,196
Lust,12.208447024496248,1,0.4272956458573687,21
Animus Society NFKey Imperial Jade,12.208447024496248,20,4.272956458573687,11
Oska x Ferry Corsten “Semblance”,12.208447024496248,1,67.14645863472937,11
TECHNOFISH 3,12.208447024496248,1,60.98119288735876,90
"I am the GOAT, u r the fucking sheep",12.208447024496248,1,20.08289535529633,140
Animus Society NFKey Red Diamond,12.208447024496248,20,120.19216095616557,12
The Blockchain Experience: Exchange Art,12.177925906935007,197,0.24355851813870016,22
Cuantika,12.086362554251286,2,756.9237155187674,2
Zero Real Life,12.086362554251286,2,0.0,2
SUBM3RGE,12.055841436690045,1,21.364782292868433,117
Milky Way,11.994799201567565,3,4.395040928818649,42
Lucky Neko!,11.95756343814285,4,0.6537623381617741,1729
The Rise of Puppet,11.903235848883842,13,42.485395645246946,7
I'm Lovin' It,11.903235848883842,13,732.4457792346525,9
The Tango,11.903235848883842,1,0.0,1
Not Easy Being Colorfull,11.903235848883842,13,42.485395645246946,8
Leonardo Glauso. Photography 5 IIIIII,11.7201091435164,16,3.6625341073488746,10
Awakener,11.699354783574755,1,0.0,5
WHIRLP00L,11.659066908393918,2,16.958143339376516,113
The Bean to Cup Journey Stamp,11.352634888079061,19,0.6098119288735876,5753
Code Classic,11.29281349765903,1,11.475940203026473,47
CANDLE COASTER,11.29281349765903,3,1526055.878062031,3
Mona Lisa showcase,11.109076369940361,59,0.36503256603243783,28
TAKEOFF,11.04803413481788,1,42.66852235061439,201
